year,cds,ccode,cdcode,scode,rtype,dname,cname,sname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
2018-19,19647330124883.0,19.0,1964733.0,124883.0,S,Los Angeles Unified,Los Angeles,Animo College Preparatory Academy,Yes,0.9573560767590619,128.0,35.0,16,17,17,18,6,17.14
2018-19,19647330111583.0,19.0,1964733.0,111583.0,S,Los Angeles Unified,Los Angeles,Animo Jackie Robinson High,Yes,0.9819967266775778,148.0,58.0,17,15,18,17,10,17.24
2018-19,19647330106849.0,19.0,1964733.0,106849.0,S,Los Angeles Unified,Los Angeles,Animo Pat Brown,Yes,0.9633333333333334,131.0,120.0,15,15,17,16,15,12.5
2018-19,19647330106831.0,19.0,1964733.0,106831.0,S,Los Angeles Unified,Los Angeles,Animo Venice Charter High,Yes,0.8859504132231405,132.0,86.0,17,16,17,17,18,20.93
2018-19,19647330111625.0,19.0,1964733.0,111625.0,S,Los Angeles Unified,Los Angeles,Animo Watts College Preparatory Academy,Yes,0.9294532627865961,128.0,21.0,19,18,18,17,8,38.1
2018-19,19647330117077.0,19.0,1964733.0,117077.0,S,Los Angeles Unified,Los Angeles,APEX Academy,Yes,0.9405405405405406,82.0,30.0,15,13,15,15,0,0.0
2018-19,19647330122721.0,19.0,1964733.0,122721.0,S,Los Angeles Unified,Los Angeles,Aspire Pacific Academy,Yes,0.9347079037800687,97.0,99.0,15,14,16,16,7,7.07
2018-19,19647330126482.0,19.0,1964733.0,126482.0,S,Los Angeles Unified,Los Angeles,Augustus F. Hawkins High A Critical Design and Gaming,No,0.8808080808080808,121.0,26.0,16,15,17,16,2,7.69
2018-19,19647330126490.0,19.0,1964733.0,126490.0,S,Los Angeles Unified,Los Angeles,Augustus F. Hawkins High B Community Health Advocates,No,0.9137931034482759,93.0,25.0,15,13,15,15,0,0.0
2018-19,19647331930866.0,19.0,1964733.0,1930866.0,S,Los Angeles Unified,Los Angeles,Bell Senior High,No,0.9198329853862213,575.0,178.0,18,17,18,18,44,24.72
